benefit_from_altruism,cost_of_altruism,disease,harshness,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg
0,0.21,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.22,0.26,1,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.15,0.26,0.9,0.39,0.39,0,0,138.4,2462.6
0,0.22,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.23,0.26,1,0.39,0.39,0,0,0,2601
0,0.16,0.26,0.9,0.39,0.39,0,0,73.8,2527.2
0,0.23,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.17,0.26,0.9,0.39,0.39,0,0,165.2,2435.8
0,0.23,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.24,0.26,1,0.39,0.39,0,0,0,2601
0,0.18,0.26,0.9,0.39,0.39,0,0,113.8,2487.2
0,0.23,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.25,0.26,1,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.19,0.26,0.9,0.39,0.39,0,0,105.4,2495.6
0,0.21,0.26,0.91,0.39,0.39,0,0,5.4,2595.6
0,0.26,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.26,0.26,1,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.22,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.2,0.26,0.9,0.39,0.39,0,0,113.8,2487.2
0,0.27,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.27,0.26,1,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.21,0.26,0.9,0.39,0.39,0,0,158.6,2442.4
0,0.27,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.28,0.26,1,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.91,0.39,0.39,0,0,7.6,2593.4
0,0.24,0.26,0.91,0.39,0.39,0,0,7.6,2593.4
0,0.22,0.26,0.9,0.39,0.39,0,0,123.6,2477.4
0,0.27,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.23,0.26,0.9,0.39,0.39,0,0,142.4,2458.6
0,0.29,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.29,0.26,1,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.91,0.39,0.39,0,0,16.2,2584.8
0,0.3,0.26,1,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.91,0.39,0.39,0,0,16.2,2584.8
0,0.29,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.24,0.26,0.9,0.39,0.39,0,0,210.2,2390.8
0,0.3,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.31,0.26,1,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.25,0.26,0.9,0.39,0.39,0,0,236.4,2364.6
0,0.31,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.91,0.39,0.39,0,0,16.2,2584.8
0,0.31,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.91,0.39,0.39,0,0,12.8,2588.2
0,0.32,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.32,0.26,1,0.39,0.39,0,0,0,2601
0,0.26,0.26,0.9,0.39,0.39,0,0,214.6,2386.4
0,0.33,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.33,0.26,1,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.27,0.26,0.9,0.39,0.39,0,0,236.4,2364.6
0,0.3,0.26,0.91,0.39,0.39,0,0,9.4,2591.6
0,0.34,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.34,0.26,1,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.28,0.26,0.9,0.39,0.39,0,0,104.4,2496.6
0,0.34,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.35,0.26,1,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.91,0.39,0.39,0,0,12.8,2588.2
0,0.34,0.26,0.92,0.39,0.39,0,0,0,2601
0,0.29,0.26,0.9,0.39,0.39,0,0,85.2,2515.8
0,0.35,0.26,0.95,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.91,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.93,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.99,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.91,0.39,0.39,0,0,15.2,2585.8
0.01,0,0.26,0.98,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.97,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.94,0.39,0.39,0,0,0,2601
